metric,plugin
PLC_PLC_Q101.Alm_inverter_p103,schneider_pub
PLC_PLC_Q101.Alm_inverter_p104,schneider_pub
PLC_PLC_Q101.Alm_max_portata,schneider_pub
PLC_PLC_Q101.Alm_max_t_mandata,schneider_pub
PLC_PLC_Q101.Alm_max_t_ritorno,schneider_pub
PLC_PLC_Q101.Alm_min_portata,schneider_pub
PLC_PLC_Q101.Alm_min_t_mandata,schneider_pub
PLC_PLC_Q101.Alm_nostart_p101,schneider_pub
PLC_PLC_Q101.Alm_nostart_p102,schneider_pub
PLC_PLC_Q101.Alm_nostart_p103,schneider_pub
PLC_PLC_Q101.Alm_nostart_p104,schneider_pub
PLC_PLC_Q101.Alm_w1,schneider_pub
PLC_PLC_Q101.Cmd_valvola_1,schneider_pub
PLC_PLC_Q101.Cmd_valvola_2,schneider_pub
PLC_PLC_Q101.Delta_temp,schneider_pub
PLC_PLC_Q101.Diff_minuti_cavedio,schneider_pub
PLC_PLC_Q101.Diff_minuti_quadro,schneider_pub
PLC_PLC_Q101.Diff_minuti_sala,schneider_pub
PLC_PLC_Q101.In_marcia_p101,schneider_pub
PLC_PLC_Q101.In_marcia_p102,schneider_pub
PLC_PLC_Q101.In_marcia_p103,schneider_pub
PLC_PLC_Q101.In_marcia_p104,schneider_pub
PLC_PLC_Q101.Kp_pid_pompe,schneider_pub
PLC_PLC_Q101.Kp_pid_valvole,schneider_pub
PLC_PLC_Q101.Manuale_p101,schneider_pub
PLC_PLC_Q101.Manuale_p102,schneider_pub
PLC_PLC_Q101.Manuale_p103,schneider_pub
PLC_PLC_Q101.Manuale_p104,schneider_pub
PLC_PLC_Q101.Manuale_ty141,schneider_pub
PLC_PLC_Q101.Manuale_ty142,schneider_pub
PLC_PLC_Q101.Max_ana_out_ty141,schneider_pub
PLC_PLC_Q101.Max_ana_out_ty142,schneider_pub
PLC_PLC_Q101.Max_ana_portata1,schneider_pub
PLC_PLC_Q101.Max_ana_portata2,schneider_pub
PLC_PLC_Q101.Max_ana_pos_ty141,schneider_pub
PLC_PLC_Q101.Max_ana_pos_ty142,schneider_pub
PLC_PLC_Q101.Max_portata,schneider_pub
PLC_PLC_Q101.Max_t_mandata,schneider_pub
PLC_PLC_Q101.Max_t_ritorno,schneider_pub
PLC_PLC_Q101.Max_visi_portata2,schneider_pub
PLC_PLC_Q101.Max_visu_portata1,schneider_pub
PLC_PLC_Q101.Min_ana_out_ty141,schneider_pub
PLC_PLC_Q101.Min_ana_out_ty142,schneider_pub
PLC_PLC_Q101.Min_ana_portata1,schneider_pub
PLC_PLC_Q101.Min_ana_portata2,schneider_pub
PLC_PLC_Q101.Min_ana_pos_ty141,schneider_pub
PLC_PLC_Q101.Min_ana_pos_ty142,schneider_pub
PLC_PLC_Q101.Min_lavoro_p101,schneider_pub
PLC_PLC_Q101.Min_lavoro_p102,schneider_pub
PLC_PLC_Q101.Min_lavoro_p103,schneider_pub
PLC_PLC_Q101.Min_lavoro_p104,schneider_pub
PLC_PLC_Q101.Min_lavoro_quadro,schneider_pub
PLC_PLC_Q101.Min_out_pid_pompe,schneider_pub
PLC_PLC_Q101.Min_out_pid_valv,schneider_pub
PLC_PLC_Q101.Min_parz_p101,schneider_pub
PLC_PLC_Q101.Min_parz_p102,schneider_pub
PLC_PLC_Q101.Min_parz_p103,schneider_pub
PLC_PLC_Q101.Min_parz_p104,schneider_pub
PLC_PLC_Q101.Min_parziali_p101,schneider_pub
PLC_PLC_Q101.Min_parziali_p102,schneider_pub
PLC_PLC_Q101.Min_parziali_p103,schneider_pub
PLC_PLC_Q101.Min_parziali_p104,schneider_pub
PLC_PLC_Q101.Min_parziali_quadro,schneider_pub
PLC_PLC_Q101.Min_portata,schneider_pub
PLC_PLC_Q101.Min_t_mandata,schneider_pub
PLC_PLC_Q101.Min_vel_pompe,schneider_pub
PLC_PLC_Q101.Min_visu_portata1,schneider_pub
PLC_PLC_Q101.Min_visu_portata2,schneider_pub
PLC_PLC_Q101.Ore_lavoro_p101,schneider_pub
PLC_PLC_Q101.Ore_lavoro_p102,schneider_pub
PLC_PLC_Q101.Ore_lavoro_p103,schneider_pub
